branch,u,x,stable
0,2.5,-0.0667328837015906,false
0,2.4963244475247652,-0.06689729824198302,false
0,2.489260545580413,-0.06721557268056413,false
0,2.4821967815210724,-0.0675368932096076,false
0,2.475133158681656,-0.0678613037995668,false
0,2.468069680494391,-0.06818884927127963,false
0,2.461006350492151,-0.06851957531660423,false
0,2.4539431723119165,-0.06885352851965747,false
0,2.446880149698371,-0.06919075637867601,false
0,2.439817286507645,-0.06953130732852171,false
0,2.432754586711202,-0.06987523076385314,false
0,2.4256920543998866,-0.07022257706298662,false
0,2.4186296937881324,-0.07057339761247038,false
0,2.4115675092183415,-0.07092774483239693,false
0,2.4045055051654414,-0.07128567220247947,false
0,2.397443686241628,-0.07164723428891892,false
0,2.390382057201305,-0.07201248677209013,false
0,2.3833206229462265,-0.07238148647507575,false
0,2.376259388530854,-0.07275429139307857,false
0,2.369198359167934,-0.07313096072374323,false
0,2.3621375402343148,-0.07351155489842084,false
0,2.3550769372770035,-0.07389613561440997,false
0,2.3480165560194832,-0.07428476586820981,false
0,2.340956402368299,-0.07467750998982253,false
0,2.333896482419924,-0.07507443367814366,false
0,2.326836802467925,-0.07547560403747981,false
0,2.3197773690104344,-0.07588108961523657,false
0,2.31271818875795,-0.07629096044081958,false
0,2.3056592686414765,-0.07670528806579424,false
0,2.298600615821024,-0.07712414560535194,false
0,2.2915422376944825,-0.07754760778113129,false
0,2.2844841419068938,-0.07797575096544708,false
0,2.277426336360135,-0.07840865322697955,false
0,2.2703688292230404,-0.07884639437798073,false
0,2.2633116289419797,-0.07928905602305629,false
0,2.256254744251918,-0.07973672160958367,false
0,2.2491981841879825,-0.08018947647983052,false
0,2.2421419580975606,-0.08064740792483982,false
0,2.235086075652958,-0.08111060524015128,false
0,2.228030546864647,-0.08157915978343153,false
0,2.220975382095132,-0.08205316503408897,false
0,2.2139205920734724,-0.08253271665495246,false
0,2.2068661879104883,-0.08301791255609675,false
0,2.199812181114693,-0.08350885296090081,false
0,2.19275858360899,-0.08400564047443028,false
0,2.18570540774817,-0.08450838015423755,false
0,2.1786526663372614,-0.08501717958367963,false
0,2.1716003726507718,-0.08553214894785618,false
0,2.164548540452874,-0.08605340111227643,false
0,2.15749718401859,-0.08658105170436867,false
0,2.150446318156023,-0.08711521919794994,false
0,2.1433959582297035,-0.08765602500078071,false
0,2.136346120185106,-0.08820359354533419,false
0,2.1292968205744054,-0.08875805238291645,false
0,2.1222480765835443,-0.08931953228127958,false
0,2.1151999060606834,-0.08988816732587723,false
0,2.108152327546121,-0.09046409502491912,false
0,2.1011053603037566,-0.0910474564183876,false
0,2.0940590243542014,-0.09163839619118891,false
0,2.0870133405096216,-0.09223706279061816,false
0,2.0799683304104217,-0.09284360854832734,false
0,2.0729240165638796,-0.09345818980699337,false
0,2.065880422384844,-0.09408096705189459,false
0,2.058837572238623,-0.09471210504761186,false
0,2.0517954914861978,-0.09535177298008352,false
0,2.0447542065318953,-0.09600014460425262,false
0,2.037713744873683,-0.09665739839755809,false
0,2.030674135156233,-0.09732371771953245,false
0,2.0236354072269442,-0.09799929097778318,false
0,2.016597592195089,-0.09868431180064699,false
0,2.0095607224942973,-0.0993789792168221,false
0,2.002524831948579,-0.10008349784229699,false
0,1.9954899558421146,-0.10079807807491162,false
0,1.9884561309930535,-0.10152293629690261,false
0,1.9814233958315792,-0.10225829508580171,false
0,1.9743917904825192,-0.10300438343407536,false
0,1.9673613568527941,-0.10376143697791176,false
0,1.9603321387240271,-0.10452969823558314,false
0,1.9533041818506518,-0.10530941685583066,false
0,1.946277534063887,-0.10610084987674279,false
0,1.9392522453819698,-0.10690426199562024,false
0,1.9322283681270709,-0.1077199258503453,false
0,1.9252059570493407,-0.10854812231279845,false
0,1.9181850694585798,-0.1093891407948919,false
0,1.9111657653640508,-0.11024327956781677,false
0,1.9041481076229994,-0.11111084609512985,false
0,1.897132162098486,-0.11199215738033569,false
0,1.8901179978271827,-0.11288754032964989,false
0,1.8831056871978356,-0.1137973321306634,false
0,1.8760953061411476,-0.11472188064765894,false
0,1.8690869343318972,-0.11566154483436641,false
0,1.8620806554041678,-0.11661669516497832,false
0,1.8550765571806354,-0.11758771408428371,false
0,1.8480747319169337,-0.1185749964778148,false
0,1.8410752765621958,-0.11957895016293896,false
0,1.8340782930369601,-0.12059999640186642,false
0,1.8270838885297225,-0.12163857043758296,false
0,1.8200921758135162,-0.12269512205375373,false
0,1.813103273584017,-0.12377011615968407,false
0,1.806117306820782,-0.12486403340145882,false
0,1.7991344071733737,-0.12597737080041765,false
0,1.792154713374246,-0.12711064242015818,false
0,1.785178371680436,-0.12826438006328944,false
0,1.7782055363462608,-0.12943913399918533,false
0,1.7712363701294016,-0.13063547372401255,false
0,1.7642710448329493,-0.1318539887543228,false
0,1.7573097418861965,-0.13309528945551094,false
0,1.7503526529671887,-0.13436000790644265,false
0,1.7433999806702865,-0.13564879880154404,false
0,1.7364519392222622,-0.13696234039162744,false
0,1.7295087552507347,-0.13830133546468687,false
0,1.7225706686090538,-0.13966651236784247,false
0,1.7156379332620795,-0.1410586260715365,false
0,1.7087108182376507,-0.14247845927697664,false
0,1.7017896086489268,-0.14392682356769135,false
0,1.694874606793186,-0.14540456060588713,false
0,1.6879661333331044,-0.14691254337408724,false
0,1.6810645285670052,-0.14845167746226606,false
0,1.674170153795053,-0.15002290240037197,false
0,1.6672833927888988,-0.15162719303574304,false
0,1.6604046533728194,-0.1532655609544502,false
0,1.653534369124979,-0.15493905594504628,false
0,1.6466730012080284,-0.15664876750253118,false
0,1.6398210403388773,-0.15839582636956154,false
0,1.6329790089081064,-0.16018140611100598,false
0,1.6261474632601125,-0.16200672471686295,false
0,1.6193269961457173,-0.16387304622728976,false
0,1.6125182393595754,-0.16578168237201743,false
0,1.605721866575296,-0.1677339942147119,false
0,1.5989385963917118,-0.16973139379086327,false
0,1.5921691956041624,-0.17177534572550554,false
0,1.5854144827149796,-0.17386736881444845,false
0,1.5786753316975228,-0.17600903754971198,false
0,1.571952676028064,-0.1782019835664404,false
0,1.5652475129995107,-0.1804478969847057,false
0,1.5585609083302945,-0.1827485276152417,false
0,1.5518940010806757,-0.1851056859932439,false
0,1.5452480088871017,-0.18752124419889282,false
0,1.5386242335230003,-0.18999713641717766,false
0,1.532024066791348,-0.1925353591829082,false
0,1.5254489967503682,-0.19513797124949236,false
0,1.5189006142686083,-0.19780709301216617,false
0,1.5123806198992271,-0.20054490540793724,false
0,1.5058908310553543,-0.2033536482056433,false
0,1.4994331894586719,-0.20623561759039521,false
0,1.4930097688216277,-0.20919316293747187,false
0,1.4866227827097218,-0.21222868266177716,false
0,1.480274592513874,-0.21534461902064986,false
0,1.4739677154437973,-0.2185434517406483,false
0,1.4677048324314586,-0.22182769033356803,false
0,1.4614887958090712,-0.22519986496416305,false
0,1.455322636598768,-0.22866251573279875,false
0,1.4492095712214312,-0.23221818024162602,false
0,1.4431530074007046,-0.23586937932409363,false
0,1.4371565490058105,-0.2396186008360069,false
0,1.4312239995447253,-0.243468281433296,false
0,1.4253593639891846,-0.24742078629849049,false
0,1.4195668485870476,-0.251478386825772,false
