branch,u,C,B,T,stable
0,1.3,0.06826440252294397,0.021426646629783424,0.03924539600400347,false
0,1.296680899040301,0.06822466264311314,0.021641149986621065,0.03917857100166927,false
0,1.2903161403630663,0.06814637956710275,0.02206080683351933,0.039048038052896375,false
0,1.2839807478339167,0.06806566065669374,0.022489742560908507,0.03891488781491407,false
0,1.2776758621602957,0.06798246162742445,0.022928157591338132,0.038779060569265986,false
0,1.2714026578119528,0.0678967472692478,0.02337625096408576,0.03864049366239012,false
0,1.2651623436004489,0.06780849376747629,0.023834218842275705,0.0384991211903909,false
0,1.2589561633628599,0.0677176914038195,0.02430225266054333,0.03835487367612985,false
0,1.2527853967601523,0.0676243476761694,0.024780536842528737,0.038207677750910565,false
0,1.2466513601846463,0.06752849087178509,0.02526924600440334,0.038057455859561114,false
0,1.2405554077426826,0.06743017412054106,0.025768541553249334,0.03790412601358896,false
0,1.2344989322399118,0.06732947994097006,0.026278567580881422,0.03774760162554799,false
0,1.2284833660299792,0.06722652527088906,0.02679944594790665,0.03758779146796642,false
0,1.222510181500362,0.06712146694323669,0.02733127045623265,0.03742459981077491,false
0,1.2165808908459996,0.06701450752543218,0.027874100018853768,0.03725792680326928,false
0,1.2106970446124465,0.06690590138309699,0.028427950759895064,0.03708766917935065,false
0,1.2048602282854095,0.06679596075702798,0.0289927870234605,0.036913721374835055,false
0,1.1990720559403802,0.06668506155265455,0.029568511337728295,0.03673597715389934,false
0,1.193334159667568,0.06657364843870693,0.030154953480819195,0.03655433184260401,false
0,1.1876481731685034,0.06646223873933843,0.030751858930352784,0.036368685258623565,false
0,1.182015707613759,0.06635142449421333,0.03135887714993532,0.03617894540271308,false
0,1.1764383176223179,0.06624187196747056,0.03197555036423211,0.03598503293732876,false
0,1.1709174551603239,0.06613431783595822,0.03260130369372735,0.03578688641321495,false
0,1.165454409393447,0.06602956130615178,0.03323543772341607,0.03558446811985198,false
0,1.1600502311334304,0.06592845152400255,0.03387712472800339,0.035377770335110005,false
0,1.1547056416853747,0.06583186988582335,0.0345254098229086,0.03516682163848552,false
0,1.1494209276446046,0.06574070723029593,0.03517921819694796,0.03495169285363129,false
0,1.1441958254067588,0.06565583637649179,0.03583736925870166,0.03473250212459417,false
0,1.1390294017992726,0.06557808103050815,0.03649859800476722,0.03450941861747575,false
0,1.1339199397771214,0.06550818261580033,0.037161583200833646,0.03428266441012244,false
0,1.1288648402087302,0.06544676699804847,0.0378249811705762,0.03405251427798392,false
0,1.1238605518812943,0.06539431328508022,0.03848746323784331,0.03381929329075862,false
0,1.1189025415225697,0.06535112681610845,0.039147754311795804,0.03358337237223286,false
0,1.1139853137674607,0.06531731812471131,0.03980466987426012,0.03334516218975462,false
0,1.1091024875836815,0.0652927891292991,0.04045714877011124,0.033105105888321315,false
