branch,u,C,B,T,stable
0,1.3,0.08211632423656755,0.02084045294557235,0.034186699852936354,false
0,1.2952910102450474,0.08197162931867237,0.021109115194480107,0.03413916584412475,false
0,1.2884638853686678,0.08175948477776905,0.02150571553902196,0.03406844252316979,false
0,1.2816488962416317,0.08154495516963857,0.0219101585039928,0.03399563203329982,false
0,1.2748466759136188,0.08132811766763365,0.022322557868282786,0.03392066150026186,false
0,1.2680578872788446,0.08110906220666093,0.022743021796016092,0.033843455329057734,false
0,1.2612832235141653,0.08088789269521648,0.0231716517130778,0.033763935170894446,false
0,1.254523408303931,0.08066472831401533,0.023608541050878683,0.033682019907826204,false
0,1.2477791958006157,0.08043970490213578,0.024053773845456893,0.03359762565928452,false
0,1.2410513702617563,0.08021297643032596,0.0245074231794188,0.033510665815407,false
0,1.2343407452964321,0.07998471655937976,0.02496954945496115,0.03342105110245693,false
0,1.2276481626427869,0.07975512027907423,0.025440198485188064,0.03332868968694054,false
0,1.220974490390394,0.0795244056209869,0.025919399392811262,0.03323348732514291,false
0,1.2143206205487689,0.07929281543468471,0.02640716230544937,0.033135347566213925,false
0,1.207687465854212,0.07906061921392354,0.026903475838928288,0.03303417201719167,false
0,1.2010759556971755,0.07882811495437836,0.027408304362966353,0.03292986067916304,false
0,1.1944870310402678,0.0785956310204571,0.027921585044954435,0.03282231236477068,false
0,1.1879216381940818,0.07836352799314683,0.028443224674675843,0.0327114252066881,false
0,1.1813807213109637,0.07813220046560852,0.02897309627657466,0.03259709726724422,false
0,1.1748652134523436,0.07790207874771037,0.029511035521286182,0.03247922725953871,false
0,1.1683760261023888,0.07767363043573292,0.030056836961436455,0.03235771538720218,false
0,1.1619140369961587,0.07744736179883206,0.030610250117729405,0.03223246431134477,false
0,1.1554800761691992,0.07722381893090466,0.031170975459331913,0.03210338024748583,false
0,1.1490749101607127,0.07700358861643371,0.03173866032768092,0.03197037419333186,false
0,1.1426992243519902,0.07678729885937471,0.032312894866020625,0.031833363283050926,false
0,1.1363536034893271,0.07657561903348743,0.032893208029600496,0.03169227225530151,false
0,1.130038513764748,0.07636925767295483,0.03347906467753993,0.03154703540902373,false
